name,code,pop
Argentina,ARG,14
Australia,AUS,92
Austria,AUT,24
Belgium,BEL,17
Brazil,BRA,42
Canada,CAN,125
China,CHN,68
Colombia,COL,24
Czech Republic,CZE,16
England,ENG,182
Finland,FIN,10
France,FRA,89
Germany,DEU,99
Greece,GRC,11
Hungary,HUN,28
India,IND,130
Iran,IRN,13
Ireland,IRL,9
Italy,ITA,95
Japan,JPN,138
Kenya,KEN,13
Mexico,MEX,64
Netherlands,NLD,20
New Zealand,NZL,10
Nigeria,NGA,13
Pakistan,PAK,11
Poland,POL,28
Russia,RUS,164
Scotland,SCT,14
South Africa,ZAF,129
South Korea,KOR,11
Spain,ESP,28
Sweden,SWE,14
Switzerland,CHE,10
Thailand,THA,13
Turkey,TUR,15
Ukraine,UKR,12
United States,USA,3690
Svalbard,SJM,0
Saint Martin,MAF,0
Saint Barthelemy,BLM,0
Guernsey,GGY,0
Jersey,JEY,0
South Georgia South Sandwich Islands,SGS,0
Mayotte,MYT,0
Åland Islands,ALA,0
Norfolk Island,NFK,0
Cocos (Keeling) Islands,CCK,0
Antarctica,ATA,0
Bouvet Island,BVT,0
French Southern and Antarctic Lands,ATF,0
Heard Island and McDonald Islands,HMD,0
British Indian Ocean Territory,IOT,0
Christmas Island,CXR,0
United States Minor Outlying Islands,UMI,0
